drug,event,final_severity,ebgm,n_cases,death_rate,signal_overview,statistical_evidence,case_outcomes,mechanism,class_comparison,recommendation
amlodipine,CONGENITAL HIATUS HERNIA,MODERATE,155.2005,44,0.022727272727272728,"Amlodipine, a calcium channel blocker indicated for hypertension, shows a disproportionate association with congenital hiatus hernia (MedDRA PT).","Strong statistical signal with PRR 3032.15, EBGM 155.20, based on 43 reports versus 0.2 expected, indicating substantial disproportionality.","Among 44 cases, death rate was 2.3% with 100% serious outcomes, affecting predominantly elderly patients (median age 80 years).","No plausible mechanism exists as congenital hiatus hernia is a developmental anomaly present from birth, predating any drug exposure.",This association is inconsistent with the known cardiovascular and peripheral vascular effects of calcium channel blockers.,Signal likely represents coding error or confounding; congenital conditions cannot be drug-induced and require data validation and case review.
amlodipine,NEUROLOGIC NEGLECT SYNDROME,SEVERE,128.6889,44,0.0,"Amlodipine, a calcium channel blocker indicated for hypertension, shows a disproportionate association with neurologic neglect syndrome (MedDRA PT).","Strong statistical signal with PRR 606.43, EBGM 128.69, and lower confidence bound EB05 99.52, based on 43 observed versus 0.2 expected cases.","All 44 cases were serious (100%), no deaths reported (0%), with median patient age of 65 years.","Calcium channel blockade may potentially affect cerebral perfusion or neuronal calcium homeostasis, though direct causation for neglect syndrome remains unclear.",Neurologic neglect syndrome is not a recognized class effect of calcium channel blockers and appears specific to amlodipine in this signal.,Detailed case review and neurological consultation recommended to evaluate temporal relationship and exclude confounding factors given the unexpected nature of this association.
amlodipine,CAROTID ARTERY THROMBOSIS,SEVERE,124.1446,43,0.0,"Amlodipine, a calcium channel blocker indicated for hypertension, shows a strong statistical signal for carotid artery thrombosis (MedDRA PT).","With PRR 517.68, EBGM 124.14, and 43 cases versus 0.3 expected, this represents an extremely robust statistical signal substantially exceeding conventional thresholds.","All 43 cases were serious (100%) with no deaths reported (0%), occurring in patients with median age 65 years.","While calcium channel blockers typically have antiatherothrombotic properties, paradoxical thrombosis could theoretically occur through hypotension-induced flow stagnation or reflex sympathetic activation.",This thrombotic signal appears inconsistent with the established cardiovascular protective profile of calcium channel blockers as a class.,Urgent detailed case review and regulatory consultation warranted given the statistical strength and clinical severity of this unexpected signal.
amoxicillin,VAGINAL FLATULENCE,MODERATE,167.9854,85,0.0,"Amoxicillin, a penicillin antibiotic indicated for bacterial infections, shows a statistical signal for vaginal flatulence (MedDRA PT).","Strong disproportionality signal with PRR 1165.38, EBGM 167.99, based on 82 reports versus 0.4 expected, indicating robust statistical association.","Zero deaths reported with 98.8% serious cases and median age 69 years, suggesting significant but non-fatal impact in elderly patients.","Amoxicillin disrupts normal vaginal microbiota leading to dysbiosis, increased pathogenic bacteria, and subsequent gas production causing vaginal flatulence.","Consistent with known gastrointestinal effects of penicillins, though vaginal manifestation represents an unusual extension of antibiotic-associated microbiome disruption.",Monitor signal through routine pharmacovigilance and consider inclusion in product labeling given strong statistical evidence and plausible mechanism.
amoxicillin,SPIROMETRY ABNORMAL,FATAL,126.8566,76,0.3026315789473684,"Amoxicillin, a penicillin antibiotic indicated for bacterial infections, shows a statistical association with spirometry abnormal (MedDRA PT).","Strong disproportionality signal with PRR 396.12 and EBGM 126.86 based on 66 reports versus 0.4 expected, indicating substantial over-reporting.","Among 76 cases, 30.3% resulted in death and 98.7% were classified as serious, with a median age of 65 years.",Potential hypersensitivity pneumonitis or acute allergic bronchospasm leading to respiratory compromise and abnormal pulmonary function testing.,"Respiratory hypersensitivity reactions are recognized with penicillins, though severe pulmonary function abnormalities represent an uncommon but potentially serious manifestation.",Urgent regulatory review warranted given high fatality rate; consider targeted safety communication and enhanced monitoring for respiratory symptoms during amoxicillin treatment.
amoxicillin,AMYLOID ARTHROPATHY,MODERATE,115.0814,20,0.0,"Amyloid arthropathy associated with amoxicillin, a penicillin antibiotic indicated for bacterial infections.","Strong disproportionality signal with PRR 3378.42 and EBGM 115.08 based on 20 reports versus 0.1 expected, indicating substantial statistical association.","No deaths reported but 100% serious outcomes with median age 68 years, suggesting significant morbidity in older adults.",No established mechanism linking penicillin antibiotics to amyloid deposition; association may reflect confounding by underlying conditions or comedications in elderly patients.,"Amyloid arthropathy is not a recognized adverse effect of penicillin antibiotics, making this signal inconsistent with established class safety profile.",Investigate potential confounding factors and review case details to determine if alternative explanations exist before establishing causality.
cabotegravir,PRODUCT USE IN UNAPPROVED THERAPEUTIC ENVIRONMENT,MODERATE,193.3753,109,0.0,"Cabotegravir, a long-acting integrase inhibitor indicated for HIV PrEP and treatment, shows a signal for Product Use in Unapproved Therapeutic Environment with 106 reports.","Strong statistical signal with PRR 849.26, EBGM 193.38, representing 106 reports versus 0.5 expected, indicating substantial disproportionality.","No deaths or serious outcomes reported among 109 cases, with median age 40 years, suggesting non-critical safety impact.","Signal likely reflects off-label or inappropriate use outside approved HIV indications, potentially due to novel long-acting formulation being used in unapproved settings or populations.","Atypical for integrase inhibitor class as signal relates to use pattern rather than pharmacological adverse effects, possibly unique to long-acting injectable formulation.",Investigate specific unapproved use contexts through detailed case review and consider prescriber education regarding approved indications and administration requirements.
cabotegravir,VIRAL LOAD INCREASED,MODERATE,179.4531,200,0.01,"Cabotegravir, a long-acting integrase inhibitor manufactured by GSK for HIV PrEP and treatment, shows a disproportionate signal for viral load increased (MedDRA PT).","Strong disproportionality with PRR 507.26 and EBGM 179.45 (EB05: 159.53) based on 200 reports versus 1.0 expected, indicating a robust statistical association.","Low mortality (1.0%) and serious outcome rates (1.5%) with median age 42 years, suggesting generally non-fatal outcomes in middle-aged adults.","Viral load increase may result from treatment failure due to resistance development, inadequate drug exposure from injection site reactions, or non-adherence to dosing schedule in long-acting formulation.","While integrase inhibitors typically have high barrier to resistance, long-acting formulations may present unique challenges with sustained drug levels and potential for suboptimal exposure periods.","Enhanced monitoring of viral load trends and resistance patterns in patients receiving cabotegravir, with attention to injection site tolerability and adherence to scheduled dosing intervals."
cabotegravir,VIROLOGIC FAILURE,MODERATE,152.9801,157,0.012738853503184714,"Cabotegravir, a long-acting integrase strand transfer inhibitor manufactured by GSK for HIV PrEP and treatment, shows a disproportionate reporting signal for virologic failure.","Strong disproportionality with PRR 356.22 and EBGM 152.98 based on 155 reports versus 0.9 expected, indicating a robust statistical association.","Among 157 cases, death rate was 1.3% and serious rate 4.5% with median age 40 years, suggesting generally manageable outcomes despite treatment failure.","Virologic failure may result from suboptimal drug concentrations due to injection site reactions, adherence issues with dosing intervals, or development of integrase resistance mutations.","This signal is concerning as integrase inhibitors typically maintain high barrier to resistance, suggesting potential issues specific to long-acting formulation pharmacokinetics or adherence patterns.","Enhanced monitoring of viral load suppression, investigation of injection site factors affecting absorption, and resistance testing in cases of confirmed virologic failure."
ciprofloxacin,NEUROPSYCHIATRIC SYNDROME,SEVERE,202.8727,39,0.0,"Ciprofloxacin, a fluoroquinolone antibiotic indicated for bacterial infections, shows a strong statistical signal for neuropsychiatric syndrome with 39 reported cases against 0.1 expected.","The signal demonstrates exceptional strength with PRR 3659.79, EBGM 202.87, and EB05 154.83, indicating a highly significant association far exceeding statistical thresholds for concern.","All 39 cases were non-fatal with 0% death rate and 0% reported as serious, though median age data was not available for characterization.","Fluoroquinolones can cross the blood-brain barrier and interfere with GABA neurotransmission, potentially causing CNS effects including anxiety, confusion, and psychiatric disturbances.","This neuropsychiatric signal is consistent with the established CNS safety profile of fluoroquinolones, which are known to cause neurological and psychiatric adverse reactions as a class effect.","Enhanced monitoring and potential labeling updates should be considered given the strong statistical signal, despite the non-serious nature of reported cases in this dataset."
ciprofloxacin,VAGINAL FLATULENCE,MODERATE,147.1927,51,0.0,"Ciprofloxacin, a fluoroquinolone antibiotic indicated for bacterial infections, shows a disproportionate reporting signal for vaginal flatulence (MedDRA PT).","Strong statistical signal with PRR 392.65, EBGM 147.19, and 48 reports versus 0.2 expected, indicating substantial disproportionality.","No deaths reported (0.0% mortality), but high serious event rate (98.0%) with median age of 65 years among 51 total cases.","Ciprofloxacin disrupts normal vaginal and intestinal microbiota, potentially leading to altered gas production and retention with subsequent vaginal passage.",This adverse event appears unique to ciprofloxacin and is not typically associated with other fluoroquinolones in the class.,Signal warrants further investigation through targeted case review and consideration for product labeling evaluation given the strong statistical evidence.
ciprofloxacin,TOTAL LUNG CAPACITY INCREASED,MODERATE,144.7279,25,0.0,"Ciprofloxacin, a fluoroquinolone antibiotic indicated for bacterial infections, shows a potential association with increased total lung capacity (MedDRA PT: Total lung capacity increased).","Strong statistical signal with PRR 1201.76, EBGM 144.73, based on 24 reports versus 0.1 expected, indicating marked disproportionate reporting well above background.","No deaths reported among 25 cases, but 80% classified as serious with median age 52 years, suggesting clinically significant pulmonary function changes.",Fluoroquinolone-induced inflammatory response or tissue remodeling affecting lung parenchyma could theoretically alter lung compliance and capacity measurements.,"This pulmonary function alteration is not a recognized fluoroquinolone class effect, distinguishing it from known musculoskeletal and neurological adverse reactions.","Enhanced surveillance warranted given strong signal and high serious outcome rate, with systematic pulmonary function monitoring in future studies."
